timestamp,generation,eval_id,cat,x1,x2,x3,x4,x5,x6,x7,x8,x9,objective,phase
1761086286.5521798,24,2117,medio,99,100,98,96,98,100,100,92,100,958.182416889946,GA
1761086286.5521798,24,2118,alto,100,99,43,98,98,99,100,97,100,902.3079732145027,GA
1761086286.5521798,24,2119,medio,100,100,100,98,97,99,100,97,100,967.5728729440949,GA
1761086286.5521798,24,2120,medio,100,100,99,100,100,100,99,99,100,973.8016223985682,PS_end
1761086286.5521798,24,2121,medio,100,100,100,98,100,100,100,97,100,971.6236978650367,PS_end
1761086286.5521798,24,2122,medio,100,100,100,98,100,99,100,97,100,970.6566879474155,PS_end
1761086286.5521798,24,2123,medio,97,100,100,100,100,100,100,98,100,971.6236978650367,PS_end
1761086286.5521798,24,2124,medio,100,100,100,99,100,100,100,97,100,972.65182723049,PS_end
1761086286.5531802,25,2125,medio,100,100,99,96,100,100,99,99,100,969.5703919531425,GA
1761086286.5531802,25,2126,medio,100,100,97,98,100,100,100,97,100,968.5398828617161,GA
1761086286.5531802,25,2127,medio,100,100,100,98,97,99,100,97,100,967.5728729440949,GA
1761086286.5531802,25,2128,medio,97,100,100,100,96,100,100,98,100,967.392467419611,GA
1761086286.5531802,25,2129,medio,100,100,100,99,95,100,100,97,100,967.2174449865298,GA
1761086286.5531802,25,2130,medio,100,100,100,100,95,99,100,97,100,967.2174449865298,GA
1761086286.5531802,25,2131,medio,100,100,99,96,99,99,100,97,100,966.4865769498219,GA
1761086286.5531802,25,2132,medio,99,99,99,96,100,100,100,97,100,966.4865769498219,GA
1761086286.5531802,25,2133,alto,97,100,95,98,97,99,100,97,100,954.0546756968142,GA
1761086286.5531802,25,2134,alto,99,100,81,100,99,99,100,97,100,941.2346638241816,GA
1761086286.5531802,25,2135,medio,97,100,100,91,97,99,100,97,100,955.7777369841697,GA
1761086286.5531802,25,2136,medio,98,99,100,98,7,100,100,97,99,874.2519903509844,GA
1761086286.5531802,25,2137,medio,100,100,100,99,100,100,100,97,100,972.65182723049,GA
1761086286.5531802,25,2138,medio,100,100,100,100,98,97,100,99,100,970.6566879474155,GA
1761086286.5531802,25,2139,medio,100,93,100,98,98,100,100,97,100,961.6382705268555,GA
1761086286.5531802,25,2140,baixo,100,99,95,100,98,99,95,100,100,941.9047285451945,GA
1761086286.5531802,25,2141,medio,100,49,100,99,95,100,100,97,100,915.221443432527,GA
1761086286.5531802,25,2142,medio,48,100,100,96,98,100,43,92,100,847.4199182461726,GA
1761086286.5531802,25,2143,alto,100,100,100,100,97,97,100,99,100,964.5680122271694,GA
1761086286.5531802,25,2144,medio,100,96,100,98,99,99,100,97,100,965.4584475843686,GA
1761086286.5531802,25,2145,medio,100,95,100,98,98,99,100,99,100,965.3439715060803,GA
1761086286.5531802,25,2146,medio,100,95,56,98,98,99,54,99,100,875.3488986938692,GA
1761086286.5531802,25,2147,medio,95,100,100,90,96,98,100,98,100,950.9398759557901,GA
1761086286.5531802,25,2148,medio,100,100,100,1,97,99,98,97,100,866.0330267833127,GA
1761086286.5531802,25,2149,medio,100,100,39,96,95,99,100,95,100,894.7091909324928,GA
1761086286.5531802,25,2150,medio,100,100,100,100,100,100,99,100,100,975.7356422338105,GA
1761086286.5531802,25,2151,medio,97,100,100,99,100,100,100,97,100,969.5680122271694,GA
1761086286.5531802,25,2152,medio,97,100,98,99,95,100,23,97,100,881.7406596783302,GA
1761086286.5531802,25,2153,medio,100,95,100,95,98,97,18,99,100,876.4402726565379,GA
1761086286.5531802,25,2154,medio,100,96,100,100,100,100,100,99,95,966.0700295444246,GA
1761086286.5531802,25,2155,baixo,100,92,95,98,98,99,100,99,100,936.0122551737903,GA
1761086286.5531802,25,2156,baixo,100,100,95,93,40,99,100,93,100,869.7376066643194,GA
1761086286.5531802,25,2157,medio,98,100,100,96,99,99,100,97,100,965.4584475843686,GA
1761086286.5531802,25,2158,medio,100,100,99,96,99,99,100,97,95,961.0521947058617,GA
1761086286.5531802,25,2159,medio,100,100,99,96,100,99,98,100,100,968.5422625876892,GA
1761086286.5531802,25,2160,medio,97,10,100,98,98,100,100,98,100,877.6361671778451,GA
1761086286.5531802,25,2161,medio,95,95,100,98,98,91,100,97,100,948.0533338543627,GA
1761086286.5531802,25,2162,medio,100,95,100,98,98,99,100,99,100,965.3439715060803,GA
1761086286.5531802,25,2163,medio,100,99,95,98,98,99,98,99,100,962.3818223053846,GA
1761086286.5531802,25,2164,medio,99,95,100,98,98,99,100,99,95,958.9425793444989,GA
1761086286.5531802,25,2165,medio,100,100,100,99,95,100,100,97,100,967.2174449865298,GA
1761086286.5531802,25,2166,medio,99,99,100,99,95,99,100,100,95,961.9658479930266,GA
1761086286.5531802,25,2167,baixo,100,100,100,99,95,99,100,100,95,943.899867828269,GA
1761086286.5531802,25,2168,medio,100,100,100,99,95,99,100,100,96,965.1030196268034,GA
1761086286.5531802,25,2169,medio,100,100,97,24,100,97,100,2,100,790.5974604385923,GA
1761086286.5531802,25,2170,baixo,100,96,100,100,98,98,100,97,100,945.3973281365365,GA
1761086286.5531802,25,2171,medio,100,95,100,79,98,23,100,100,100,862.033726752414,GA
1761086286.5531802,25,2172,medio,99,99,99,96,100,100,100,97,100,966.4865769498219,GA
1761086286.5531802,25,2173,medio,100,28,100,99,95,100,100,97,100,889.980076150447,GA
1761086286.5531802,25,2174,medio,97,95,100,99,95,100,100,100,100,961.7830627425695,GA
1761086286.5531802,25,2175,medio,99,49,98,95,54,98,100,92,100,858.9870773354866,GA
1761086286.5531802,25,2176,medio,100,98,99,96,97,100,100,92,100,957.0937411696999,GA
1761086286.5531802,25,2177,medio,100,100,100,100,95,99,100,97,100,967.2174449865298,GA
1761086286.5531802,25,2178,medio,100,98,20,95,95,99,94,97,100,870.973718817878,GA
1761086286.5531802,25,2179,medio,97,94,100,98,98,99,100,100,100,961.97241717434,GA
1761086286.5531802,25,2180,medio,99,55,95,98,98,97,67,88,88,851.9512770793926,GA
1761086286.5531802,25,2181,medio,100,93,100,98,98,99,100,99,100,962.7880656949337,GA
1761086286.5531802,25,2182,medio,100,95,100,98,43,100,100,99,100,907.9195551745587,GA
1761086286.5531802,25,2183,medio,100,96,100,100,98,97,100,99,100,966.4254575019897,GA
1761086286.5531802,25,2184,medio,100,95,100,98,55,99,100,99,100,922.3721344490102,GA
1761086286.5531802,25,2185,medio,98,96,100,100,100,100,94,92,100,954.4554346006405,GA
1761086286.5531802,25,2186,medio,100,100,99,100,96,100,100,98,100,969.5092725053104,GA
1761086286.5531802,25,2187,medio,99,99,100,89,95,100,100,97,100,952.7256026796036,GA
1761086286.5531802,25,2188,medio,97,100,100,91,97,100,100,97,100,956.7447469017909,GA
1761086286.5531802,25,2189,medio,100,100,100,98,100,100,100,95,100,969.273130624397,GA
1761086286.5531802,25,2190,medio,100,99,99,96,100,99,100,97,95,961.0521947058617,GA
1761086286.5531802,25,2191,medio,99,99,96,99,95,100,100,97,100,961.0521947058617,GA
1761086286.5531802,25,2192,medio,99,99,100,93,100,100,99,92,100,956.4796180111716,GA
1761086286.5531802,25,2193,medio,99,100,100,98,97,99,100,96,100,965.4584475843686,GA
1761086286.5531802,25,2194,medio,100,100,100,91,97,100,100,92,100,953.5806605761421,GA
1761086286.5531802,25,2195,medio,97,33,97,98,100,100,100,97,100,892.4891119046341,GA
1761086286.5531802,25,2196,alto,100,100,97,99,73,19,100,97,100,849.3468100738879,GA
1761086286.5531802,25,2197,medio,97,100,97,99,100,76,100,99,100,938.662739976273,GA
1761086286.5531802,25,2198,medio,99,99,95,98,96,99,100,97,100,959.0570554227872,GA
1761086286.5531802,25,2199,medio,100,100,99,96,100,98,99,97,100,965.4584475843686,GA
1761086286.5531802,25,2200,medio,99,100,100,96,100,100,95,99,100,965.1030196268034,GA
1761086286.5531802,25,2201,medio,100,95,100,98,98,99,100,99,100,965.3439715060803,GA
1761086286.5531802,25,2202,medio,63,99,95,98,98,100,100,97,100,924.4965605259471,GA
1761086286.5531802,25,2203,medio,97,100,97,99,100,31,99,99,100,892.7870507343475,GA
1761086286.5531802,25,2204,medio,100,6,35,96,98,100,100,100,100,804.9335129940641,GA
1761086286.5531802,25,2205,medio,100,100,100,100,100,100,100,100,100,976.7026521514317,PS_end
1761086286.5531802,25,2206,medio,100,100,100,99,100,100,100,98,100,973.7405029507361,PS_end
1761086286.5531802,25,2207,medio,100,100,100,100,98,100,100,99,100,973.7405029507361,PS_end
1761086286.55418,25,2208,medio,100,100,99,100,100,100,99,99,100,973.8016223985682,PS_end
1761086286.55418,25,2209,medio,100,100,100,99,100,100,100,97,100,972.65182723049,PS_end
1761086286.55418,26,2210,medio,100,100,100,100,100,100,99,100,100,975.7356422338105,GA
1761086286.55418,26,2211,medio,100,100,100,99,100,100,100,97,100,972.65182723049,GA
1761086286.55418,26,2212,medio,100,100,100,100,98,97,100,99,100,970.6566879474155,GA
1761086286.55418,26,2213,medio,100,100,99,96,100,100,99,99,100,969.5703919531425,GA
1761086286.55418,26,2214,medio,97,100,100,99,100,100,100,97,100,969.5680122271694,GA
1761086286.55418,26,2215,medio,100,100,99,100,96,100,100,98,100,969.5092725053104,GA
1761086286.55418,26,2216,medio,100,100,100,98,100,100,100,95,100,969.273130624397,GA
1761086286.55418,26,2217,medio,100,100,99,96,100,99,98,100,100,968.5422625876892,GA
1761086286.55418,26,2218,alto,100,100,99,96,10,100,100,97,100,873.4233446640216,GA
1761086286.55418,26,2219,medio,100,100,100,99,100,99,100,97,95,966.2504350689086,GA
1761086286.55418,26,2220,medio,100,93,100,98,97,99,100,99,100,961.6993899746877,GA
1761086286.55418,26,2221,medio,100,100,99,96,100,98,99,97,100,965.4584475843686,GA
1761086286.55418,26,2222,medio,100,100,99,100,96,38,100,98,100,902.2793587154898,GA
1761086286.55418,26,2223,medio,100,100,95,98,99,99,100,97,100,964.2552957858342,GA
1761086286.55418,26,2224,baixo,100,96,100,100,100,38,100,97,100,882.1576929128648,GA
1761086286.55418,26,2225,medio,97,100,100,91,97,99,100,97,100,955.7777369841697,GA
1761086286.55418,26,2226,medio,100,100,100,99,95,100,100,97,100,967.2174449865298,GA
1761086286.55418,26,2227,medio,99,99,99,96,100,100,100,33,100,896.6034359993811,GA
1761086286.55418,26,2228,medio,100,99,100,98,98,100,100,99,100,970.7783537500404,GA
1761086286.55418,26,2229,medio,100,95,99,83,100,99,100,92,95,932.6474463341295,GA
1761086286.55418,26,2230,medio,100,96,100,98,98,100,100,97,100,965.3973281365365,GA
1761086286.55418,26,2231,medio,100,93,100,98,99,99,100,97,99,960.7323800570665,GA
1761086286.55418,26,2232,medio,100,99,100,99,95,95,100,100,100,963.899867828269,GA
1761086286.55418,26,2233,medio,97,95,99,22,100,99,100,97,95,876.7614830046776,GA
1761086286.55418,26,2234,medio,100,100,100,98,97,99,100,97,100,967.5728729440949,GA
1761086286.55418,26,2235,medio,100,15,64,100,100,100,99,100,100,852.1586843012287,GA
1761086286.55418,26,2236,medio,100,100,100,99,95,100,100,99,100,969.3342500722292,GA
1761086286.55418,26,2237,baixo,100,100,100,100,95,99,100,97,100,947.2174449865298,GA
1761086286.55418,26,2238,medio,99,99,99,96,100,100,100,97,100,966.4865769498219,GA
1761086286.55418,26,2239,medio,100,100,99,98,97,99,100,97,100,966.6058630264738,GA
1761086286.55418,26,2240,medio,99,100,100,96,100,99,100,100,100,970.5374018707637,GA
1761086286.55418,26,2241,medio,97,94,100,86,98,100,95,99,100,940.7352537916656,GA
1761086286.55418,26,2242,baixo,100,100,26,99,96,100,100,97,100,869.827943296227,GA
1761086286.55418,26,2243,medio,100,100,100,100,33,97,100,99,100,899.6848712767285,GA
1761086286.55418,26,2244,baixo,100,100,100,43,100,100,100,99,95,889.9146944576331,GA
1761086286.55418,26,2245,medio,100,38,100,100,100,100,99,100,100,908.5057284439899,GA
1761086286.55418,26,2246,medio,97,100,100,100,61,100,100,99,95,927.2071046153751,GA
1761086286.55418,26,2247,medio,100,95,100,91,13,99,100,97,100,869.4218699838781,GA
1761086286.55418,26,2248,alto,97,97,95,91,97,100,81,99,100,920.8602111691434,GA
1761086286.55418,26,2249,medio,97,100,100,98,96,99,100,97,100,963.3416424986692,GA
1761086286.55418,26,2250,baixo,63,99,95,98,82,100,100,97,100,883.2667741482102,GA
1761086286.55418,26,2251,alto,92,100,100,100,96,100,100,98,100,956.1445660906417,GA
1761086286.55418,26,2252,medio,100,100,100,100,95,100,100,97,100,968.1844549041509,GA
1761086286.55418,26,2253,medio,100,100,100,99,95,99,100,97,100,966.2504350689086,GA
1761086286.55418,26,2254,medio,100,100,100,100,95,100,100,98,100,969.273130624397,GA
1761086286.55418,26,2255,baixo,97,100,97,98,100,100,100,97,100,945.4560678583956,GA
1761086286.55418,26,2256,medio,100,100,100,100,96,100,100,98,100,970.4762824229315,GA
1761086286.55418,26,2257,medio,100,100,99,100,96,19,100,98,100,886.7855753364346,GA
1761086286.55418,26,2258,medio,97,100,100,99,100,100,100,99,86,953.8868968910803,GA
1761086286.55418,26,2259,medio,100,100,100,100,97,97,100,97,100,967.45120714147,GA
1761086286.55418,26,2260,medio,97,95,100,99,95,100,100,97,100,958.699247739249,GA
1761086286.55418,26,2261,medio,99,99,99,96,100,100,100,100,100,969.5703919531425,GA
1761086286.55418,26,2262,medio,100,100,100,99,100,100,100,97,99,971.6848173128689,GA
1761086286.55418,26,2263,medio,98,94,100,99,7,100,100,97,100,870.525008061679,GA
1761086286.55418,26,2264,medio,97,100,100,99,100,100,100,97,100,969.5680122271694,GA
1761086286.55418,26,2265,medio,100,95,100,98,98,99,100,94,91,948.9153896940212,GA
1761086286.55418,26,2266,medio,97,95,95,96,99,99,95,97,100,948.0666251322419,GA
1761086286.55418,26,2267,medio,100,100,99,99,95,100,100,100,100,969.3342500722292,GA
1761086286.55418,26,2268,medio,97,100,100,99,100,95,100,97,100,964.1336299832092,GA
1761086286.55418,26,2269,medio,100,100,72,99,100,100,100,97,100,939.4095065080894,GA
1761086286.55418,26,2270,medio,100,100,100,100,95,99,100,97,100,967.2174449865298,GA
1761086286.55418,26,2271,medio,100,100,97,98,100,100,100,97,100,968.5398828617161,GA
